1.1e+11,57600,baseline,2.98818e+09,2.98559e+07,0,0,3.07308e+09,1256116117
1.1e+11,57600,Coop,2.95657e+09,3.22903e+07,0,1.06877e+06,3.07308e+09,1256116117
1.1e+11,57600,FCFS,2.93877e+09,3.48517e+07,0,1.06877e+06,3.07308e+09,1256116117
1.1e+11,57600,No,2.96134e+09,2.98626e+07,0,1.06877e+06,3.07308e+09,1256116117
1.1e+11,57600,Simple,2.95642e+09,3.18922e+07,0,1.09372e+06,3.07308e+09,1256116117
1.1e+11,57600,baseline,2.989e+09,2.99995e+07,0,0,3.07308e+09,2763874052
1.1e+11,57600,Coop,2.95923e+09,3.07134e+07,0,27454.5,3.07308e+09,2763874052
1.1e+11,57600,FCFS,2.96756e+09,3.53588e+07,0,33353.7,3.07308e+09,2763874052
1.1e+11,57600,No,2.95259e+09,2.98347e+07,0,120577,3.07308e+09,2763874052
1.1e+11,57600,Simple,2.96196e+09,3.15635e+07,0,36606,3.07308e+09,2763874052
1.1e+11,57600,baseline,2.99389e+09,2.98916e+07,0,0,3.07308e+09,4271631987
1.1e+11,57600,Coop,2.97042e+09,3.23751e+07,0,36606,3.07308e+09,4271631987
1.1e+11,57600,FCFS,2.965e+09,3.47919e+07,0,36606,3.07308e+09,4271631987
1.1e+11,57600,No,2.97174e+09,2.98978e+07,0,18303,3.07308e+09,4271631987
1.1e+11,57600,Simple,2.96606e+09,3.16529e+07,0,36606,3.07308e+09,4271631987
1.1e+11,57600,baseline,2.98382e+09,2.98931e+07,0,0,3.07308e+09,1484422626
1.1e+11,57600,Coop,2.96414e+09,3.26683e+07,0,983843,3.07308e+09,1484422626
1.1e+11,57600,FCFS,2.93322e+09,3.36195e+07,0,1.04885e+06,3.07308e+09,1484422626
1.1e+11,57600,No,2.93778e+09,2.98515e+07,0,890720,3.07308e+09,1484422626
1.1e+11,57600,Simple,2.94241e+09,3.29454e+07,0,1.76161e+06,3.07308e+09,1484422626
1.1e+11,57600,baseline,2.98489e+09,2.98755e+07,0,0,3.07308e+09,2992180561
1.1e+11,57600,Coop,2.99344e+09,3.16337e+07,0,9151.49,3.07308e+09,2992180561
1.1e+11,57600,FCFS,2.98075e+09,3.52521e+07,0,9151.49,3.07308e+09,2992180561
1.1e+11,57600,No,2.98491e+09,2.98765e+07,0,9151.49,3.07308e+09,2992180561
1.1e+11,57600,Simple,2.98677e+09,3.28896e+07,0,9151.49,3.07308e+09,2992180561
1.1e+11,57600,baseline,2.98567e+09,3.07245e+07,0,0,3.07308e+09,204971200
1.1e+11,57600,Coop,2.96871e+09,3.27892e+07,0,9151.49,3.07308e+09,204971200
1.1e+11,57600,FCFS,2.97291e+09,3.54753e+07,0,9151.49,3.07308e+09,204971200
1.1e+11,57600,No,2.9732e+09,3.01524e+07,0,9151.49,3.07308e+09,204971200
1.1e+11,57600,Simple,2.97428e+09,3.37815e+07,0,9151.49,3.07308e+09,204971200
1.1e+11,57600,baseline,2.98591e+09,2.98853e+07,0,0,3.07308e+09,1712729135
1.1e+11,57600,Coop,2.93625e+09,3.14496e+07,0,45757.4,3.07308e+09,1712729135
1.1e+11,57600,FCFS,2.92925e+09,3.50471e+07,0,45757.4,3.07308e+09,1712729135
1.1e+11,57600,No,2.94346e+09,2.98603e+07,0,36606,3.07308e+09,1712729135
1.1e+11,57600,Simple,2.94162e+09,3.08502e+07,0,45757.4,3.07308e+09,1712729135
